"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\wearefly\client\func.php", "PHP", 26, 0, 0, 5, 31
"c:\xampp\htdocs\wearefly\client\information.php", "PHP", 68, 0, 0, 6, 74
"c:\xampp\htdocs\wearefly\client\loaive.php", "PHP", 134, 0, 3, 14, 151
"c:\xampp\htdocs\wearefly\client\login.php", "PHP", 20, 0, 0, 0, 20
"c:\xampp\htdocs\wearefly\client\logincheck.php", "PHP", 33, 0, 2, 4, 39
"c:\xampp\htdocs\wearefly\client\register.php", "PHP", 80, 0, 3, 8, 91
"c:\xampp\htdocs\wearefly\client\usercachdatve.php", "PHP", 92, 0, 2, 7, 101
"c:\xampp\htdocs\wearefly\client\usercallme.php", "PHP", 112, 0, 2, 11, 125
"c:\xampp\htdocs\wearefly\client\usercantho.php", "PHP", 6, 0, 0, 1, 7
"c:\xampp\htdocs\wearefly\client\userchinhsua.php", "PHP", 124, 0, 2, 10, 136
"c:\xampp\htdocs\wearefly\client\userchocuatoi.php", "PHP", 172, 0, 4, 14, 190
"c:\xampp\htdocs\wearefly\client\userchongoi.php", "PHP", 253, 0, 0, 35, 288
"c:\xampp\htdocs\wearefly\client\userchongoib.php", "PHP", 254, 0, 0, 35, 289
"c:\xampp\htdocs\wearefly\client\usercolab.php", "PHP", 123, 0, 2, 10, 135
"c:\xampp\htdocs\wearefly\client\userdatcho.php", "PHP", 185, 0, 10, 19, 214
"c:\xampp\htdocs\wearefly\client\userend.php", "PHP", 46, 0, 0, 1, 47
"c:\xampp\htdocs\wearefly\client\userhanoi.php", "PHP", 6, 0, 0, 1, 7
"c:\xampp\htdocs\wearefly\client\userhuyve.php", "PHP", 29, 0, 6, 6, 41
"c:\xampp\htdocs\wearefly\client\userlogin.php", "PHP", 146, 0, 2, 9, 157
"c:\xampp\htdocs\wearefly\client\usernew.php", "PHP", 129, 0, 2, 22, 153
"c:\xampp\htdocs\wearefly\client\usernew1.php", "PHP", 128, 0, 2, 11, 141
"c:\xampp\htdocs\wearefly\client\usernew2.php", "PHP", 126, 0, 2, 18, 146
"c:\xampp\htdocs\wearefly\client\usernew3.php", "PHP", 123, 0, 2, 12, 137
"c:\xampp\htdocs\wearefly\client\usernew4.php", "PHP", 165, 0, 2, 11, 178
"c:\xampp\htdocs\wearefly\client\usernew5.php", "PHP", 114, 0, 2, 11, 127
"c:\xampp\htdocs\wearefly\client\usernew6.php", "PHP", 116, 0, 2, 13, 131
"c:\xampp\htdocs\wearefly\client\usernew7.php", "PHP", 113, 0, 2, 11, 126
"c:\xampp\htdocs\wearefly\client\usernew8.php", "PHP", 117, 0, 2, 11, 130
"c:\xampp\htdocs\wearefly\client\usersaigon.php", "PHP", 53, 0, 0, 4, 57
"c:\xampp\htdocs\wearefly\client\usersms.php", "PHP", 104, 0, 5, 8, 117
"c:\xampp\htdocs\wearefly\client\userthanhtoan.php", "PHP", 138, 0, 14, 21, 173
"c:\xampp\htdocs\wearefly\client\userthongtinve.php", "PHP", 100, 0, 4, 9, 113
"c:\xampp\htdocs\wearefly\client\usertimchuyenbay.php", "PHP", 177, 0, 3, 10, 190
"c:\xampp\htdocs\wearefly\client\usertrogiup.php", "PHP", 101, 0, 2, 4, 107
"c:\xampp\htdocs\wearefly\conn.php", "PHP", 7, 0, 0, 0, 7
"c:\xampp\htdocs\wearefly\css\cho.css", "CSS", 0, 19, 0, 1, 20
"c:\xampp\htdocs\wearefly\css\chongi.css", "CSS", 0, 36, 0, 9, 45
"c:\xampp\htdocs\wearefly\css\client.css", "CSS", 0, 127, 1, 15, 143
"c:\xampp\htdocs\wearefly\css\endd.css", "CSS", 0, 36, 0, 1, 37
"c:\xampp\htdocs\wearefly\css\login.css", "CSS", 0, 52, 0, 10, 62
"c:\xampp\htdocs\wearefly\css\main.css", "CSS", 0, 45, 0, 8, 53
"c:\xampp\htdocs\wearefly\index.php", "PHP", 123, 0, 0, 8, 131
"c:\xampp\htdocs\wearefly\no_login\cachdatve.php", "PHP", 67, 0, 0, 3, 70
"c:\xampp\htdocs\wearefly\no_login\callme.php", "PHP", 46, 0, 0, 5, 51
"c:\xampp\htdocs\wearefly\no_login\cantho.php", "PHP", 6, 0, 0, 1, 7
"c:\xampp\htdocs\wearefly\no_login\chinhsua.php", "PHP", 110, 0, 0, 6, 116
"c:\xampp\htdocs\wearefly\no_login\chocuatoi.php", "PHP", 159, 0, 2, 12, 173
"c:\xampp\htdocs\wearefly\no_login\chongoi.php", "PHP", 255, 0, 0, 35, 290
"c:\xampp\htdocs\wearefly\no_login\chongoib.php", "PHP", 254, 0, 0, 35, 289
"c:\xampp\htdocs\wearefly\no_login\colab.php", "PHP", 102, 0, 0, 9, 111
"c:\xampp\htdocs\wearefly\no_login\datcho.php", "PHP", 116, 0, 2, 14, 132
"c:\xampp\htdocs\wearefly\no_login\end.php", "PHP", 51, 0, 0, 1, 52
"c:\xampp\htdocs\wearefly\no_login\hanoi.php", "PHP", 6, 0, 0, 1, 7
"c:\xampp\htdocs\wearefly\no_login\huyve.php", "PHP", 29, 0, 6, 6, 41
"c:\xampp\htdocs\wearefly\no_login\khuyenmai.php", "PHP", 36, 0, 0, 1, 37
"c:\xampp\htdocs\wearefly\no_login\loaive.php", "PHP", 124, 0, 1, 11, 136
"c:\xampp\htdocs\wearefly\no_login\new1.php", "PHP", 107, 0, 0, 9, 116
"c:\xampp\htdocs\wearefly\no_login\new2.php", "PHP", 105, 0, 0, 16, 121
"c:\xampp\htdocs\wearefly\no_login\new3.php", "PHP", 102, 0, 0, 10, 112
"c:\xampp\htdocs\wearefly\no_login\new4.php", "PHP", 144, 0, 0, 9, 153
"c:\xampp\htdocs\wearefly\no_login\new5.php", "PHP", 93, 0, 0, 9, 102
"c:\xampp\htdocs\wearefly\no_login\new6.php", "PHP", 95, 0, 0, 11, 106
"c:\xampp\htdocs\wearefly\no_login\new7.php", "PHP", 92, 0, 0, 9, 101
"c:\xampp\htdocs\wearefly\no_login\new8.php", "PHP", 96, 0, 0, 9, 105
"c:\xampp\htdocs\wearefly\no_login\new9.php", "PHP", 108, 0, 0, 20, 128
"c:\xampp\htdocs\wearefly\no_login\saigon.php", "PHP", 53, 0, 0, 3, 56
"c:\xampp\htdocs\wearefly\no_login\sms.php", "PHP", 46, 0, 0, 3, 49
"c:\xampp\htdocs\wearefly\no_login\thanhtoan.php", "PHP", 121, 0, 12, 18, 151
"c:\xampp\htdocs\wearefly\no_login\thongtinve.php", "PHP", 87, 0, 2, 5, 94
"c:\xampp\htdocs\wearefly\no_login\timchuyenbay.php", "PHP", 164, 0, 1, 9, 174
"c:\xampp\htdocs\wearefly\no_login\trogiup.php", "PHP", 81, 0, 0, 4, 85
"Total", "-", 6698, 315, 111, 708, 7832
