"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\wearefly\client\func.php", "PHP", 18, 0, 0, 2, 20
"c:\xampp\htdocs\wearefly\client\information.php", "PHP", 37, 0, 0, 2, 39
"c:\xampp\htdocs\wearefly\client\loaive.php", "PHP", 81, 0, 2, 5, 88
"c:\xampp\htdocs\wearefly\client\login.php", "PHP", 11, 0, 0, 0, 11
"c:\xampp\htdocs\wearefly\client\logincheck.php", "PHP", 33, 0, 2, 4, 39
"c:\xampp\htdocs\wearefly\client\register.php", "PHP", 36, 0, 3, 2, 41
"c:\xampp\htdocs\wearefly\client\usercallme.php", "PHP", 72, 0, 2, 7, 81
"c:\xampp\htdocs\wearefly\client\userchocuatoi.php", "PHP", 81, 0, 5, 8, 94
"c:\xampp\htdocs\wearefly\client\usercolab.php", "PHP", 61, 0, 2, 3, 66
"c:\xampp\htdocs\wearefly\client\userdatcho.php", "PHP", 67, 0, 6, 4, 77
"c:\xampp\htdocs\wearefly\client\userlogin.php", "PHP", 90, 0, 2, 5, 97
"c:\xampp\htdocs\wearefly\client\usernew1.php", "PHP", 76, 0, 2, 3, 81
"c:\xampp\htdocs\wearefly\client\usersms.php", "PHP", 66, 0, 5, 6, 77
"c:\xampp\htdocs\wearefly\client\userthanhtoan.php", "PHP", 100, 0, 14, 15, 129
"c:\xampp\htdocs\wearefly\client\userthongtinve.php", "PHP", 69, 0, 4, 5, 78
"c:\xampp\htdocs\wearefly\client\usertimchuyenbay.php", "PHP", 110, 0, 3, 8, 121
"c:\xampp\htdocs\wearefly\client\usertrogiup.php", "PHP", 61, 0, 2, 3, 66
"c:\xampp\htdocs\wearefly\conn.php", "PHP", 7, 0, 0, 0, 7
"c:\xampp\htdocs\wearefly\css\cho.css", "CSS", 0, 10, 0, 1, 11
"c:\xampp\htdocs\wearefly\css\client.css", "CSS", 0, 65, 1, 10, 76
"c:\xampp\htdocs\wearefly\css\main.css", "CSS", 0, 39, 0, 8, 47
"c:\xampp\htdocs\wearefly\index.php", "PHP", 77, 0, 0, 3, 80
"c:\xampp\htdocs\wearefly\no_login\cachdatve.php", "PHP", 61, 0, 0, 3, 64
"c:\xampp\htdocs\wearefly\no_login\callme.php", "PHP", 40, 0, 0, 4, 44
"c:\xampp\htdocs\wearefly\no_login\chocuatoi.php", "PHP", 68, 0, 3, 6, 77
"c:\xampp\htdocs\wearefly\no_login\colab.php", "PHP", 48, 0, 0, 1, 49
"c:\xampp\htdocs\wearefly\no_login\datcho.php", "PHP", 77, 0, 0, 1, 78
"c:\xampp\htdocs\wearefly\no_login\loaive.php", "PHP", 69, 0, 0, 3, 72
"c:\xampp\htdocs\wearefly\no_login\new1.php", "PHP", 63, 0, 0, 1, 64
"c:\xampp\htdocs\wearefly\no_login\new2.php", "PHP", 61, 0, 0, 8, 69
"c:\xampp\htdocs\wearefly\no_login\new3.php", "PHP", 57, 0, 0, 2, 59
"c:\xampp\htdocs\wearefly\no_login\new4.php", "PHP", 99, 0, 0, 2, 101
"c:\xampp\htdocs\wearefly\no_login\new5.php", "PHP", 49, 0, 0, 1, 50
"c:\xampp\htdocs\wearefly\no_login\new6.php", "PHP", 49, 0, 0, 4, 53
"c:\xampp\htdocs\wearefly\no_login\new7.php", "PHP", 48, 0, 0, 1, 49
"c:\xampp\htdocs\wearefly\no_login\new8.php", "PHP", 52, 0, 0, 1, 53
"c:\xampp\htdocs\wearefly\no_login\new9.php", "PHP", 64, 0, 0, 12, 76
"c:\xampp\htdocs\wearefly\no_login\sms.php", "PHP", 43, 0, 0, 1, 44
"c:\xampp\htdocs\wearefly\no_login\thanhtoan.php", "PHP", 87, 0, 12, 15, 114
"c:\xampp\htdocs\wearefly\no_login\thongtinve.php", "PHP", 58, 0, 2, 1, 61
"c:\xampp\htdocs\wearefly\no_login\timchuyenbay.php", "PHP", 98, 0, 1, 6, 105
"c:\xampp\htdocs\wearefly\no_login\trogiup.php", "PHP", 48, 0, 0, 1, 49
"Total", "-", 2392, 114, 73, 178, 2757
